state,year,hiv_ed_mandate,sex_ed_mandate
Alabama,2017,1,0
Alabama,2018,1,0
Alabama,2019,,
Alabama,2020,,
Alabama,2021,,
Alabama,2022,0,0
Alaska,2017,0,0
Alaska,2018,0,0
Alaska,2019,,
Alaska,2020,,
Alaska,2021,,
Alaska,2022,0,0
Arizona,2017,0,0
Arizona,2018,0,0
Arizona,2019,,
Arizona,2020,,
Arizona,2021,,
Arizona,2022,0,0
Arkansas,2017,0,0
Arkansas,2018,0,0
Arkansas,2019,,
Arkansas,2020,,
Arkansas,2021,,
Arkansas,2022,0,0
California,2017,1,1
California,2018,1,1
California,2019,,
California,2020,,
California,2021,,
California,2022,1,1
Colorado,2017,0,0
Colorado,2018,0,0
Colorado,2019,,
Colorado,2020,,
Colorado,2021,,
Colorado,2022,0,0
Connecticut,2017,1,0
Connecticut,2018,1,0
Connecticut,2019,,
Connecticut,2020,,
Connecticut,2021,,
Connecticut,2022,0,0
Delaware,2017,1,1
Delaware,2018,1,1
Delaware,2019,,
Delaware,2020,,
Delaware,2021,,
Delaware,2022,1,1
District of Columbia,2017,1,1
District of Columbia,2018,1,1
District of Columbia,2019,,
District of Columbia,2020,,
District of Columbia,2021,,
District of Columbia,2022,1,1
Florida,2017,0,1
Florida,2018,0,1
Florida,2019,,
Florida,2020,,
Florida,2021,,
Florida,2022,1,1
Georgia,2017,1,1
Georgia,2018,1,1
Georgia,2019,,
Georgia,2020,,
Georgia,2021,,
Georgia,2022,1,1
Hawaii,2017,1,1
Hawaii,2018,1,1
Hawaii,2019,,
Hawaii,2020,,
Hawaii,2021,,
Hawaii,2022,1,1
Idaho,2017,0,0
Idaho,2018,0,0
Idaho,2019,,
Idaho,2020,,
Idaho,2021,,
Idaho,2022,0,0
Illinois,2017,1,0
Illinois,2018,1,0
Illinois,2019,,
Illinois,2020,,
Illinois,2021,,
Illinois,2022,0,0
Indiana,2017,1,1
Indiana,2018,1,1
Indiana,2019,,
Indiana,2020,,
Indiana,2021,,
Indiana,2022,0,0
Iowa,2017,1,1
Iowa,2018,1,1
Iowa,2019,,
Iowa,2020,,
Iowa,2021,,
Iowa,2022,1,1
Kansas,2017,0,1
Kansas,2018,0,1
Kansas,2019,,
Kansas,2020,,
Kansas,2021,,
Kansas,2022,1,1
Kentucky,2017,1,1
Kentucky,2018,1,1
Kentucky,2019,,
Kentucky,2020,,
Kentucky,2021,,
Kentucky,2022,1,1
Louisiana,2017,1,1
Louisiana,2018,1,1
Louisiana,2019,,
Louisiana,2020,,
Louisiana,2021,,
Louisiana,2022,0,0
Maine,2017,1,1
Maine,2018,1,1
Maine,2019,,
Maine,2020,,
Maine,2021,,
Maine,2022,1,1
Maryland,2017,1,1
Maryland,2018,1,1
Maryland,2019,,
Maryland,2020,,
Maryland,2021,,
Maryland,2022,1,1
Massachusetts,2017,0,0
